Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
749	false	0	1517894	0	r14
750	false	0	1735402	0	r11
751	false	0	213070	7	r11
752	false	0	1400996	6	rsp
753	false	0	644393	2	rsi
754	false	0	353753	4	rsi
755	false	0	353753	4	rax
756	false	0	1152809	6	rbx
757	false	0	925031	1	rbp
758	false	0	986617	9	r15
759	false	0	26083	9	r9
760	false	0	359435	2	r10
761	false	0	359435	2	rdi
762	false	0	1879233	0	rsi
763	false	0	501990	2	r14
764	false	0	482940	2	r8
765	false	0	1138810	4	r8
766	false	0	548085	1	r9
767	false	0	128092	7	r11
768	false	0	1157819	9	r14
769	false	0	943053	5	rax
770	false	0	1763664	4	rsi
771	false	0	479937	8	rsi
772	false	0	479937	8	rdx
773	false	0	1387505	8	rbp
774	false	0	715364	3	r13
775	false	0	1238275	3	r14
776	false	0	1705945	0	r15
777	false	0	216652	7	rbp
778	false	0	1167888	2	r12
779	false	0	1082735	0	rdi
780	false	0	1399561	3	rax
781	false	0	301579	4	rax
782	false	0	301579	4	rbx
783	false	0	165753	9	rax
784	false	0	1380682	3	r13
785	false	0	119746	1	rbx
786	false	0	269636	2	r8
787	false	0	5641	8	rax
788	false	0	1310325	2	r14
789	false	0	1266252	6	rax
790	false	0	1832799	4	r12
791	false	0	35881	2	r12
792	false	0	1355328	5	r9
793	false	0	894980	5	r8
794	false	0	534639	6	r15
795	false	0	1502850	3	rsi
796	false	0	1427432	4	r11
797	false	0	1652818	7	rbx
798	false	0	525485	7	rsp
799	false	0	397054	6	rsp
800	false	0	397054	6	r14
801	false	0	286364	4	r15
802	false	0	1652978	1	rsi
803	false	0	87509	2	rsi
804	false	0	87509	2	r11
805	false	0	1458847	6	rcx
806	false	0	390334	2	r8
807	false	0	354648	4	r9
808	false	0	405142	3	rbp
809	false	0	325250	1	rbp
810	false	0	368016	2	r13
811	false	0	1521585	9	r14
812	false	0	856911	6	r14
813	false	0	1777099	4	rcx
814	false	0	1327230	8	rbp
815	false	0	708906	9	r15
816	false	0	572688	2	r10
817	false	0	572688	2	r10
818	false	0	919741	4	r14
819	false	0	1439396	4	rax
820	false	0	1826475	8	r12
821	false	0	389983	4	r12
822	false	0	792930	0	r13
823	false	0	935183	5	r12
824	false	0	999350	1	r9
825	false	0	1322747	0	rsp
826	false	0	1698309	8	r14
827	false	0	1788563	6	r13
828	false	0	1176979	1	r12
829	false	0	964182	8	rsi
830	false	0	309719	6	rsi
831	false	0	309719	6	rsi
832	false	0	1312887	4	rax
833	false	0	1156264	0	r15
834	false	0	385898	5	r10
835	false	0	1586788	6	rsi
836	false	0	1474592	4	r10
837	false	0	625465	2	rax
838	false	0	1754301	6	rdx
839	false	0	1674909	1	r13
840	false	0	1443616	1	rsi
841	false	0	576147	0	rsi
842	false	0	1033736	8	r14
843	false	0	779607	3	rbx
844	false	0	748063	4	r9
845	false	0	189911	5	rbp
846	false	0	949501	5	r12
847	false	0	534542	9	r11
848	false	0	560175	7	r9
849	false	0	595248	7	r13
850	false	0	254643	1	r9
851	false	0	1249832	4	rbp
852	false	0	1189268	0	rsp
853	false	0	1353056	3	rdi
854	false	0	801270	1	rbp
855	false	0	1172251	3	r15
856	false	0	1609281	9	rsi
857	false	0	749263	4	rdi
858	false	0	145606	3	rdi
859	false	0	234465	1	r13
860	false	0	689496	8	r12
861	false	0	1415531	3	r9
